"topics","Arun2010","CaoJuan2009","Deveaud2014","Griffiths2004"
10,181.301082955777,0.130451044034603,2.29446339621954,-3081201.10738939
20,143.301442145601,0.094667295822227,2.26260629221001,-2964552.66044723
30,120.960236002984,0.0786267220868824,2.19451289148313,-2904118.35364902
40,103.251364306512,0.0612367330660144,2.1510271586969,-2865793.9493119
50,91.3832593773607,0.0536957806734698,2.09673361439927,-2857577.71820673
60,82.8306236740023,0.0493784467544868,2.02500874697215,-2841301.51861273
70,77.219327146706,0.0546433588688486,1.9325868119658,-2847292.21778145
80,69.7448494020423,0.0458900835860292,1.89696813312584,-2840704.4841858
90,62.2967226397904,0.0421346962473105,1.83787754169108,-2832681.90549689
100,61.0819047729248,0.0406982994156079,1.76850559804032,-2840759.10585202
120,55.3908159572495,0.0405706672622416,1.64780116233373,-2850883.36557778
140,52.5184450257475,0.0391740637906533,1.53201418415103,-2859980.68193744
160,54.813630230566,0.0425040946711319,1.3968432908019,-2876484.8391886
180,53.6466407220431,0.0484657505530861,1.28042843653912,-2891743.43693265
200,53.3110529062036,0.053432386479526,1.19739339690462,-2894316.66723827
250,61.7351846686653,0.0734691648879929,0.984445716647491,-2921419.81410607
300,71.272791374009,0.102194580517458,0.829443380597562,-2952304.30603886
350,74.4107213623797,0.132880722705432,0.713199993865802,-2963065.92562592
400,79.0012912960771,0.149098892211749,0.636094008559724,-2974921.36242318
450,85.6814941368716,0.175267537988515,0.57018861888756,-2988474.13555067
500,88.7231459432691,0.200078001145524,0.516598735763961,-3002639.96192936
600,86.3347789369848,0.250193234206881,0.433321503958851,-3017017.32037584
700,87.4092742882423,0.295673919229235,0.36923518798026,-3036295.56379391
800,96.8592124932902,0.331464616557652,0.322218980726503,-3048537.85184734
900,106.808269600029,0.365785511493767,0.288614594729559,-3068163.52632103
1000,109.001239608818,0.401335741055512,0.259859131235523,-3065731.52981744
15,158.87485957069,0.107335087950164,2.29187770122043,-3005507.13186488
